PARAMETER,YEAR,LAT,LON,ANN-Wind
WS2M,2015,-13,35,3.3
WS2M,2015,-13,35.625,1.95
WS2M,2015,-13.5,33.125,2.6
WS2M,2015,-13.5,33.75,2.57
WS2M,2015,-13.5,34.375,3.75
WS2M,2015,-13.5,35,3.55
WS2M,2015,-13.5,35.625,2.23
WS2M,2015,-14,33.125,2.35
WS2M,2015,-14,33.75,2.35
WS2M,2015,-14,34.375,2.62
WS2M,2015,-14,35,3.72
WS2M,2015,-14,35.625,2.4
WS2M,2015,-14.5,33.125,2.32
WS2M,2015,-14.5,33.75,2.35
WS2M,2015,-14.5,34.375,1.54
WS2M,2015,-14.5,35,2.48
WS2M,2015,-14.5,35.625,2.55
WS2M,2015,-15,33.125,2.48
WS2M,2015,-15,33.75,2.35
WS2M,2015,-15,34.375,2.22
WS2M,2015,-15,35,2.06
WS2M,2015,-15,35.625,2.92
WS2M,2015,-15.5,33.125,2.52
WS2M,2015,-15.5,33.75,2.34
WS2M,2015,-15.5,34.375,2.32
WS2M,2015,-15.5,35,2
WS2M,2015,-15.5,35.625,2.5
WS2M,2015,-16,33.125,2.58
WS2M,2015,-16,33.75,2.47
WS2M,2015,-16,34.375,2.32
WS2M,2015,-16,35,2.06
WS2M,2015,-16,35.625,1.84
WS2M,2015,-16.5,33.125,2.63
WS2M,2015,-16.5,33.75,2.71
WS2M,2015,-16.5,34.375,2.55
WS2M,2015,-16.5,35,2.31
WS2M,2015,-16.5,35.625,2.26
WS2M,2015,-17,33.125,2.72
WS2M,2015,-17,33.75,2.96
WS2M,2015,-17,34.375,2.67
WS2M,2015,-17,35,2.47
WS2M,2015,-17,35.625,2.67
WS2M,2015,-9.5,33.125,2.4
WS2M,2015,-9.5,33.75,1.1
WS2M,2015,-9.5,34.375,1.66
WS2M,2015,-9.5,35,0.76
WS2M,2015,-9.5,35.625,0.06
WS2M,2016,-10,33.125,2.27
WS2M,2016,-10,33.75,2.49
WS2M,2016,-10,34.375,4.11
WS2M,2016,-10,35,1.2
WS2M,2016,-10,35.625,0.9
WS2M,2016,-10.5,33.125,2.17
WS2M,2016,-10.5,33.75,2.06
WS2M,2016,-10.5,34.375,3.75
WS2M,2016,-10.5,35,2.49
WS2M,2016,-10.5,35.625,2.34
WS2M,2016,-11,33.125,2.45
WS2M,2016,-11,33.75,2.68
WS2M,2016,-11,34.375,3.8
WS2M,2016,-11,35,3
WS2M,2016,-11,35.625,1.25
WS2M,2016,-11.5,33.125,2.9
WS2M,2016,-11.5,33.75,2.39
WS2M,2016,-11.5,34.375,3.84
WS2M,2016,-11.5,35,3.13
WS2M,2016,-11.5,35.625,2.16
WS2M,2016,-12,33.125,3.08
WS2M,2016,-12,33.75,1.76
WS2M,2016,-12,34.375,3.91
WS2M,2016,-12,35,3.05
WS2M,2016,-12,35.625,2.32
WS2M,2016,-12.5,33.125,3.07
WS2M,2016,-12.5,33.75,2.07
WS2M,2016,-12.5,34.375,4.19
WS2M,2016,-12.5,35,3.18
WS2M,2016,-12.5,35.625,2.17
WS2M,2016,-13,33.125,2.88
WS2M,2016,-13,33.75,2.4
WS2M,2016,-13,34.375,3.89
WS2M,2016,-13,35,3.32
